topic,question_type,content,answer,points,answer_size,source,source_reference,answer_label,unit,options,left_items,right_items,image,labels,markers,masks,parts
Physics - MOSFETs & Circuits,written,"State and explain the property of MOSFET devices that makes them useful in low power circuits.","MOSFETs have very high input impedance (essentially infinite at DC) because the gate is insulated from the channel. This means negligible current flows into the gate, resulting in minimal power consumption in the control circuit.",2,short,Feynman Lectures on Physics Vol. 2,Chapter 14 p.237,,,,,,,,,,
Physics - MOSFETs & Circuits,written,"Describe what is meant by amplitude modulation (AM).","Amplitude modulation is a technique where the amplitude of a high-frequency carrier wave is varied in proportion to the instantaneous amplitude of the modulating signal (usually audio). The frequency of the carrier remains constant.",1,short,,,,,,,,,,,,,
Electronics - Signal Processing,written,"Explain the meaning of the term 'virtual earth' in an inverting operational amplifier circuit.","A virtual earth is a point in the circuit that is maintained at approximately 0V (earth potential) by the feedback mechanism of the op-amp, even though it is not directly connected to ground. The inverting input is held at the same voltage as the non-inverting input (0V) due to the high gain of the op-amp.",2,short,Feynman Lectures on Physics Vol. 2,Chapter 22,,,,,,,,,,
Physics - MOSFETs & Circuits,written,"Explain how a parallel LC resonant circuit can be used as a filter to reduce mains interference at 50 Hz.","At resonance, a parallel LC circuit presents very high impedance. By tuning L and C values so that the resonant frequency equals 50 Hz, the circuit blocks the interference signal while allowing other frequencies to pass. The high impedance at 50 Hz means the interference voltage is dropped across the LC circuit rather than reaching the output. The quality factor Q determines the sharpness of the filtering.",3,medium,,,,,,,,,,,,,
Electronics - Signal Processing,written,"Explain why frequency modulation (FM) is not used for commercial radio transmissions in the medium and long wave bands.","FM requires significantly more bandwidth than AM - typically around 200 kHz per channel compared to about 10 kHz for AM. The medium and long wave bands have limited available spectrum and lower frequencies. At these frequencies, the large bandwidth required for FM would mean very few stations could broadcast. Additionally, FM works better at VHF frequencies for propagation characteristics.",3,medium,,,,,,,,,,,,,
Electronics - Signal Processing,written,"Compare the advantages and disadvantages of optical fibre and copper wire for transmitting information over long distances.","Advantages of optical fibre: Much higher bandwidth capacity, immunity to electromagnetic interference, lower signal attenuation over distance, lighter weight, no electrical conduction (safer), more secure (harder to tap). Disadvantages: More expensive to install, more fragile and requires careful handling, requires specialized equipment for installation and maintenance, cannot carry electrical power. Copper advantages: Lower initial cost, easier to work with and repair, can carry power, existing infrastructure. Copper disadvantages: Limited bandwidth, susceptible to EMI, higher attenuation requiring more repeaters, heavier.",6,long,,,,,,,,,,,,,
Physics - MOSFETs & Circuits,calculation,"A MOSFET circuit has a threshold voltage (Vth) of 2.4 V. The gate is connected to a 12V supply through a potential divider consisting of a 1 MOhm resistor and the resistance of water between two copper strips. Calculate the resistance of the water when the MOSFET just turns on.","Using a potential divider: Vgate = 12 * Rwater / (Rwater + 1 MOhm). When the MOSFET turns on, Vgate equals Vth (2.4 V). Therefore: 2.4 = 12 * Rwater / (Rwater + 1). Solving: 2.4(Rwater + 1) = 12Rwater, 2.4Rwater + 2.4 = 12Rwater, 2.4 = 9.6Rwater, so Rwater = 0.25 MOhm.",3,medium,Feynman Lectures on Physics Vol. 2,Chapter 14 Example 3,resistance,MOhm,,,,,,,,,
Physics - MOSFETs & Circuits,calculation,"An inductor of 2.0 H is used in a parallel LC resonant circuit designed to filter out 50 Hz mains interference. Calculate the required capacitance.","Using the resonance formula f0 = 1/(2 * pi * sqrt(L * C)). Rearranging gives C = 1/(4 * pi^2 * f0^2 * L) = 1/(4 * pi^2 * 50^2 * 2.0), which is approximately 5.07 microfarads.",2,short,,,,capacitance,microfarads,,,,,,,,,
Physics - MOSFETs & Circuits,calculation,"A temperature sensor produces 10 mV per degree Celsius, with 0 mV at 0 degrees. It feeds an inverting amplifier with Ri = 22 kOhm and Rf = 270 kOhm. Calculate the output voltage when the sensor reads 50 degrees Celsius.","Sensor voltage at 50 degrees: Vin = 50 * 10 mV = 0.5 V. For an inverting amplifier: Vout = -(Rf/Ri) * Vin = -(270/22) * 0.5, which is approximately -6.14 V.",2,short,,,,Vout,V,,,,,,,,,
Theory of Constraints,written,"Define what is meant by a constraint in the Theory of Constraints.","A constraint is anything that limits a system from achieving higher performance relative to its goal. It is the weakest link that determines the overall system throughput. In manufacturing, it is typically the resource (machine, process, or policy) with the least capacity relative to demand.",2,short,The Goal by Eliyahu Goldratt,Chapter 15,,,,,,,,,,
